id,odi_no,date,venue,host_country,venue_status,team1,team2,toss_winner,toss_decision,result,dls_applied,winner,team1_runs,team2_runs,team1_overs_played,team2_overs_played,team1_wickets,team2_wickets,team1_runs_from_extra,team2_runs_from_extra,win_by_runs,win_by_wickets,player_of_the_match,umpire1,umpire2,reserve_umpire,tv_umpire
54,4593,22/06/2023,Harare Sports Club,Zimbabwe,neutral,Nepal,West Indies,Nepal,field,normal,0,West Indies,238,339,49.4,50,10,7,14,13,101,0,Shai Hope,Allahudien Paleker,Martin Saggers,Raveendra Wimalasiri,Ahmed Shah Pakteen
55,4598,24/06/2023,"Takashinga Sports Club,Highfield Harare",Zimbabwe,neutral,Nepal,Netherlands,Netherlands,field,normal,0,Netherlands,167,168,44.3,27.1,10,3,10,2,0,7,Max O'Dowd,Ahmed Shah Pakteen,Asif Yaqoob,Jayaraman Madanagopal,Martin Saggers
56,4610,02/07/2023,"Takashinga Sports Club,Highfield Harare",Zimbabwe,neutral,Nepal,UAE,Nepal,field,normal,0,Nepal,185,181,43.2,46.5,7,10,16,13,0,3,Dipendra Singh Airee,Aleem Dar,Bongani Jele,Wayne Knights,Raveendra Wimalasiri
57,4613,04/07/2023,"Takashinga Sports Club,Highfield Harare",Zimbabwe,neutral,Nepal,Ireland,Ireland,field,normal,0,Ireland,268,269,50,49.2,9,8,18,19,0,2,Curtis Campher,Jayaraman Madanagopal,Leslie Reifer,Bongani Jele,Sam Nogajski
58,4628,30/08/2023,Multan Cricket Stadium,Pakistan,away,Nepal,Pakistan,Pakistan,bat,normal,0,Pakistan,104,342,23.4,50,10,6,8,10,238,0,Babar Azam,Chirs Gaffaney,Masudur Rahman,Ahmed Shah Pakteen,Langton rusere
59,4632,04/09/2023,Pallekele International Cricket Stadium,Srilanka,neutral,Nepal,India,India,field,normal,1,India,230,147,48.2,20.1,10,0,9,6,0,10,Rohit Sharma,Paul Wilson,Ruchira Palliyaguruge,Jayaraman Madanagopal,Richard Illingworth
60,4724,08/02/2024,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,Canada,Nepal,bat,normal,0,Nepal,224,217,50,47.5,10,10,14,17,7,0,Rohit Paudel,Lyndon Hannibal,Vinay Kumar,Durga Subedi,
61,4726,10/02/2024,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,Canada,Canada,bat,normal,0,Nepal,287,285,45.1,50,6,9,9,20,0,4,Rohit Paudel,Durga Subedi,Lyndon Hannibal,Vinay Kumar,
62,4728,12/02/2024,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,Canada,Nepal,field,normal,0,Nepal,232,234,44.3,50,1,8,8,14,0,9,Anil Shah,Lyndon Hannibal,Vinay Kumar,Durga Subedi,
63,4730,15/02/2024,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,Namibia,Namibia,field,normal,0,Namibia,132,134,41.1,33.1,10,6,9,3,0,4,Gerhard Erasmus,Asif Yaqoob,Buddhi Pradhan,Durga Subedi,
